id,lnTE.WT,wt_TE,geneSymbol,Nm_AUG_status
uc002cpm.3,1.083581203,2.955243952,E4F1,AUG
uc002cpr.3,0.864688027,2.374265264,ECI1,AUG
uc002cpu.3,0.224114698,1.251214523,RNPS1,AUG
uc002cqd.1,0.484988301,1.624156008,CCNF,AUG
uc002crd.3,0.776025087,2.172818314,KCTD5,AUG
uc002crk.3,0.052492933,1.053895114,SRRM2,AUG
uc002crm.3,0.772214744,2.164554884,TCEB2,AUG
uc002crt.4,0.560828183,1.752122978,PRSS21,AUG
uc002csc.3,1.02557803,2.788706951,FLYWCH1,AUG
uc002csn.3,1.059424266,2.884709686,PKMYT1,AUG
uc002csy.1,1.29067914,3.635254564,HCFC1R1,AUG
uc002ctb.2,0.997450512,2.711360428,THOC6,AUG
uc002ctn.3,-5.944902338,0.002619158,IL32,AUG
uc002cuk.2,0.831397732,2.296526426,ZNF200,AUG
uc002cvk.2,1.133913552,3.10779525,CLUAP1,AUG
uc002cvt.4,0.307283575,1.359726498,TRAP1,AUG
uc002cvv.3,0.799237439,2.223844465,CREBBP,AUG
uc002cvx.3,0.399839293,1.49158497,ADCY9,AUG
uc002cwj.1,1.165260965,3.206759626,VASN,AUG
uc002cwk.3,-0.140129935,0.869245283,DNAJA3,AUG
uc002cwo.3,0.702972801,2.019748101,NMRAL1,AUG
uc002cwq.4,1.00690975,2.737129518,HMOX2,AUG
uc002cww.3,1.064573471,2.899601956,CDIP1,AUG
uc002cwx.2,1.373871036,3.950614103,UBALD1,AUG
uc002cxa.3,0.982838384,2.672029735,MGRN1,AUG
uc002cxe.3,1.011110979,2.748653015,NUDT16L1,AUG
uc002cxj.2,1.096823628,2.994638814,ANKS3,AUG
uc002cxx.4,0.843860177,2.325325844,GLYR1,AUG
uc002cyb.3,0.771010699,2.161950231,UBN1,AUG
uc002cyd.1,1.021397323,2.777072521,PPL,AUG
uc002cym.3,0.741578647,2.09924687,ALG1,AUG
uc002czf.4,0.615506774,1.850594195,PMM2,AUG
uc002czl.2,0.162389411,1.176318223,USP7,AUG
uc002czm.3,0.195810003,1.216295791,C16orf72,AUG
uc002czx.3,0.284798557,1.329494184,EMP2,AUG
uc002daa.1,1.293191239,3.644398164,NUBP1,AUG
uc002dbb.3,-0.482762784,0.617076186,LITAF,AUG
uc002dbg.1,0.358932649,1.431800365,TXNDC11,AUG
uc002dbl.3,0.78158466,2.184931898,ZC3H7A,AUG
uc002dbp.1,0.128655338,1.137298073,RSL1D1,AUG
uc002dbt.3,-0.196220098,0.821831331,GSPT1,AUG
uc002dca.4,1.176998789,3.244621781,CPPED1,AUG
uc002dce.2,0.617050542,1.853453289,ERCC4,AUG
uc002dcg.3,0.642691877,1.90159285,MKL2,AUG
uc002dco.3,0.511014866,1.6669821,BFAR,AUG
uc002dcv.3,1.332873113,3.791922373,NOMO1,AUG
uc002dda.4,-0.162572945,0.849954088,PDXDC1,AUG
uc002dde.3,0.31625038,1.371973727,RRN3,AUG
uc002dds.3,1.258280733,3.519365554,NDE1,AUG
uc002dec.1,0.30006774,1.34995025,FOPNL,AUG
uc002dfe.3,1.563469595,4.775361104,NOMO2,AUG
uc002dfi.1,-0.456219177,0.633674935,RPS15A,AUG
uc002dfl.1,-1.284993187,0.276652468,ARL6IP1,AUG
uc002dfm.3,-0.53427853,0.586091985,SMG1,AUG
uc002dfr.3,0.677602371,1.969150775,COQ7,AUG
uc002dfu.4,-1.460140353,0.232203682,ITPRIPL2,AUG
uc002dgh.3,-0.846146209,0.429065278,GDE1,AUG
uc002dgl.4,0.374180602,1.453799686,CCP110,AUG
uc002dgq.3,0.9790542,2.661937391,KNOP1,AUG
uc002dho.3,0.130386718,1.139268874,THUMPD1,AUG
uc002dje.3,-0.853859391,0.42576855,METTL9,AUG
uc002djx.3,-0.056862727,0.944723746,UQCRC2,AUG
uc002dki.3,0.367368163,1.443929423,EEF2K,AUG
uc002dkk.4,0.451046864,1.569954855,POLR3E,AUG
uc002dkn.3,1.111233241,3.038102798,CDR2,AUG
uc002dlo.3,1.243428897,3.467482745,COG7,AUG
uc002dlq.3,0.807160082,2.241533169,GGA2,AUG
uc002dlt.4,0.460487578,1.584846533,EARS2,AUG
uc002dlv.3,-0.239814643,0.786773682,UBFD1,AUG
uc002dlw.3,0.570491858,1.769137002,NDUFAB1,AUG
